y,x_1,x_2,x_3,x_4
286.966698898781,89.1655381629243,13.2179671069002,15,1
1200.01194040903,84.9770582700148,16.7871109274851,11,3
186.660299900252,76.6236044722609,9.98790021514771,4,1
266.352188753263,68.1708779535256,18.3471445051805,17,2
143.323786934166,11.479695008602,-2.83603762860491,17,2
30.0438644833231,-9.0444092778489,46.5661711120111,0,3
-231.733315756294,67.817119716201,2.37166994043391,-5,3
105.93896704804,58.3260063943453,22.8043671761309,-4,2
178.10367954873,27.7907824283466,14.6162054879765,3,3
328.98664417827,61.1529605626129,0.481930062042149,3,3
705.409052524801,41.7758100642823,33.1726593534872,12,3
160.804691829877,25.9983375272714,9.94110505295741,14,2
188.759688834958,91.4005937287584,26.2622084409633,-2,2
71.6851519821465,-3.18374008871615,14.2752466599352,17,3
179.045707370575,3.098459020257,1.29714750951516,17,3
148.991006417948,48.161404505372,10.3839825279768,6,2
273.070811169388,94.0653493953869,17.3046978659746,11,1
239.493101657385,50.570575594902,22.8118571942941,18,2
319.493012688135,90.1770542073064,15.1607199271488,19,1
793.709760014146,41.2984030996449,36.160706568031,14,3
-250.021353489144,74.3619643547572,4.77944869335833,-5,3
523.37590900524,25.153941900935,51.9455503043269,13,3
94.6557190966411,58.205508121755,11.5386689114193,-5,2
-82.5863420197493,28.5779261402786,34.7663139603562,-5,3
112.912828880377,52.9845818551257,37.9819511725044,-2,1
1074.52351441996,66.1783388140611,63.9382853909144,12,3
404.710759286786,95.9841391840018,4.41594806989756,2,3
76.9564543444524,-2.71544334478676,-27.2487246604011,13,2
57.0027657962755,42.0549231162295,-0.926333855946869,-5,2
216.775861848408,50.415426956024,9.65622398381872,16,1
182.658195106217,16.2802204326726,26.243079354379,19,2
509.780195964862,45.0995412305929,2.55013802456163,8,3
262.841431022964,62.167441251222,-2.49517575139183,2,3
199.449568474694,28.343218236696,4.20379012227109,20,2
144.176032521735,64.6974998293445,41.5111403144533,-2,2
250.779941717164,69.1503208014183,46.3978575227739,13,1
296.024088308126,9.02260150993243,38.2624170488079,15,3
-11.2614481160426,-4.33007067535073,-13.7669157621721,3,3
32.7835219358056,26.2032862217166,14.3254238238237,-5,2
256.737656018318,93.4098928468302,43.2137412945632,7,1
302.381428988295,75.1211875490844,44.1259310882615,19,1
248.470801988223,92.7653896156698,14.7876422054357,8,1
47.2058479155591,-2.33768520411104,26.7244955667307,5,3
1174.66804464018,65.2722178632393,33.5598196373787,14,3
525.101201581622,34.9847242352553,34.6914416018147,10,3
85.5482542417978,1.36148507008329,0.692043278440867,11,2
13.8014054560198,7.68873990746215,37.8158689439542,-3,3
1666.81687646679,85.4299402469769,18.4850669840516,16,3
235.527090874594,58.9590525836684,-9.3948754448629,18,1
1873.35337154003,82.7507023746148,5.09457363181746,19,3
257.42142895093,56.5620090160519,26.2795121698239,19,1
231.713295664449,83.473737675231,17.7338471826455,8,1
42.4563022904628,42.0536882127635,3.6636767525124,-1,3
1777.30401737193,91.3248826493509,21.8953885729692,16,3
279.614619901275,85.8723373385146,26.2774479213302,13,2
184.496715438907,77.5023074774072,27.2080422688262,2,1
220.813889401977,70.3531360626221,10.6848947733428,10,2
-50.1439025101395,69.2803962924518,35.9863931008167,-3,3
265.957267551202,96.0561393806711,24.3647403636346,8,2
140.199817064708,39.4567361916415,25.1011091575262,7,1
63.4327546485901,22.6963726198301,21.2115391917007,0,2
160.92219704395,45.3959450311959,47.649600196702,6,2
77.8096636392953,40.4212682275102,34.4955734811874,-3,1
68.8785065047286,27.6559909107164,14.9528786457389,0,2
24.2105184683122,-6.58402569126338,32.8868900477954,3,3
724.950889436349,51.7540342686698,32.07398109397,10,3
296.563750294484,83.877102243714,13.259769813169,17,2
149.942988659951,28.9081441727467,19.0337231086167,12,1
549.939886131149,19.1237231576815,-8.624075408804,20,3
151.75153091926,63.5787997627631,20.1945797270437,1,2
253.376879988674,65.7264681020752,25.4039898469384,15,2
191.821740660362,72.3001052229665,23.8516001930646,4,2
116.202464308153,65.0727902376093,23.9017485871952,-4,1
124.732828958539,16.7797440453433,18.1211850221125,11,2
-19.2366464548652,52.7269823034294,51.530025161335,-3,3
706.086358040068,31.0502867307514,35.6045017537697,16,3
1101.23016485993,50.8048711554147,18.9405907248517,17,3
153.595039995184,64.1700929123908,23.2129753168649,1,2
20.4301889237331,63.4940754785202,31.2906731001529,-2,3
300.8141676173,42.1683675050735,18.0474393685804,4,3
473.338714948941,26.9929963722825,11.6869812555151,12,3
1174.90888744538,44.0446265647188,67.9024259808737,20,3
1603.46185088051,65.6302802963182,21.8468402150949,20,3
119.934628242889,0.42876245919615,-4.68893548364314,17,2
-39.7555868518179,61.1465664533898,36.9984493708343,-3,3
569.461657608095,36.3171926815994,19.5393992012124,11,3
15.7202759948902,6.18553161853924,-7.1395416465614,0,2
88.2543954085778,41.686425304506,-8.58446994375539,1,1
234.78443480047,47.7143161534332,31.5217500980866,18,1
49.8972441121472,49.8919878038578,3.06475460673355,-1,3
198.325048840262,4.76357112638652,23.9151636341358,14,3
169.566287143142,16.1961719812825,0.0643324774353644,19,2
179.82150898694,86.3643644261174,12.5957029109409,0,1
257.612038687098,61.3892310415395,10.7110620902035,19,1
217.177461325194,43.2676741294563,25.5632483384839,17,1
